open,close,low,high,volume
71134.77,71527.54,71134.75,71467.81,506.24391
71467.81,71777.0,71369.74,71776.99,390.21252
71777.0,71777.0,71148.28,71169.74,202.76544
71169.73,71299.53,71086.85,71198.89,182.80912
71198.88,71247.26,70975.56,71205.5,148.53514
71205.49,71301.79,71064.52,71279.99,118.63743
71279.99,71454.81,71218.0,71348.01,108.7963
71348.01,71625.83,71218.0,71269.24,174.05736
71269.24,71441.26,71085.14,71120.0,159.51537
71119.99,71221.36,70964.7,71119.17,170.62174
71119.17,71205.03,70984.11,71068.75,129.17132
71068.75,71166.04,70900.05,70925.76,107.38945
70925.76,71381.33,70925.75,71346.16,206.36479
71346.17,71424.0,71151.31,71217.6,127.12002
71217.6,71226.8,70943.31,71134.4,132.21259
71134.4,71226.7,71042.99,71145.98,72.76374
71145.98,71448.02,71133.95,71448.01,99.40344
71448.02,71587.92,71367.91,71531.39,138.53049
71531.38,71700.0,71304.77,71364.42,213.95101
71364.7,71388.9,71293.3,71368.8,70.03587
71368.81,71448.45,71253.22,71307.81,144.46899
71307.81,71404.2,71192.48,71382.63,74.0295
71382.62,71391.95,71147.37,71252.18,113.49999
71252.18,71380.2,71200.0,71322.0,48.99744
71322.0,71334.2,71174.92,71268.59,56.32746
71268.58,71292.84,71204.0,71247.38,74.88386
71247.39,71452.0,71247.39,71306.45,84.3831
71306.45,71367.4,71216.62,71258.1,52.65776
71258.1,71366.01,71186.12,71252.41,60.60247
71252.42,71328.4,71194.21,71242.03,185.93485
71242.02,71272.92,70993.45,71046.31,95.48201
71046.31,71234.29,71000.0,71095.06,88.34689
71095.06,71097.32,70567.58,70669.57,353.34083
70669.57,70726.01,70512.64,70688.65,129.41746
70688.64,70912.28,70557.87,70790.72,114.71612
70790.72,70966.56,70771.09,70961.43,75.93629
70961.44,70961.44,70781.8,70868.61,67.92786
70868.62,70914.9,70790.17,70857.71,53.04251
70857.71,70904.96,70663.92,70733.96,63.24195
70733.95,70817.73,70364.73,70373.64,109.40924
70373.63,70581.16,70164.0,70232.75,185.5712
70232.76,70399.47,70133.34,70326.63,189.78045
70326.63,70467.48,70300.0,70318.02,109.28033
70318.02,70450.86,70223.52,70375.26,169.57609
70375.25,70436.68,70093.38,70111.98,117.09408
70111.97,70146.63,69984.0,70063.27,470.6337
70063.27,70217.35,69931.47,70189.81,134.67427
70189.81,70227.52,70000.0,70075.73,99.67591
70075.73,70082.62,69901.0,70013.87,135.42196
70013.87,70099.22,69966.08,69966.08,83.76066
69966.08,70172.92,69872.68,70109.2,76.36259
70109.19,70119.84,69873.03,70068.14,73.65784
70068.14,70290.0,70068.14,70240.2,77.20938
70240.2,70262.56,69975.47,70144.25,112.96185
70144.26,70144.26,69910.04,69973.93,50.42652
69973.92,70000.96,69821.2,69821.2,48.09174
69821.19,69953.72,69739.0,69940.2,105.94762
69940.19,70105.75,69892.0,69990.2,51.97661
69990.21,70054.56,69951.33,70008.93,23.17277
70008.92,70083.2,69961.8,69998.72,207.71871
69998.72,70077.92,69963.69,70043.63,81.3214
70043.63,70174.99,70007.52,70174.99,48.62251
70175.0,70250.0,70072.13,70098.08,56.95452
70098.07,70125.44,70032.0,70112.68,61.90224
70112.67,70125.55,70007.82,70125.55,25.71019
70126.0,70250.0,70126.0,70206.04,29.04402
70206.04,70270.71,70185.72,70251.2,20.12545
70251.2,70299.94,70221.04,70260.3,41.80077
70260.3,70312.12,70214.2,70297.16,34.14376
70297.15,70350.0,70213.94,70307.83,85.91078
70307.82,70311.3,70223.6,70311.3,183.71588
70311.3,70311.3,70237.9,70255.38,56.82966
70255.38,70274.51,70209.92,70235.6,27.12993
70236.34,70312.0,70216.98,70290.07,39.32817
70290.08,70417.3,70290.07,70298.0,20.71048
70298.0,70298.01,70073.92,70097.6,67.2836
70097.61,70171.56,70015.77,70071.98,87.77732
70071.99,70071.99,69953.29,70053.72,60.09222
70053.73,70061.03,69924.12,69941.48,39.96599
69941.48,70048.62,69941.47,70001.2,30.76246
70001.2,70023.62,69739.1,69794.9,108.43816
69794.91,69848.11,69600.0,69746.41,206.59357
69746.41,69746.41,69541.91,69664.0,81.60684
69664.01,69797.37,69614.21,69769.2,40.11342
69769.2,69827.59,69741.99,69763.01,48.19647
69763.02,69869.9,69731.09,69731.09,163.60217
69731.08,69753.68,69604.53,69625.86,51.83791
69625.86,69640.72,69452.42,69609.97,114.68834
69609.96,69609.96,69474.18,69504.36,28.94436
69504.37,69678.75,69493.05,69678.71,24.08061
69678.71,69757.19,69600.0,69601.21,215.72909
69601.21,69653.96,69546.0,69579.22,25.89814
69579.22,69628.0,69493.05,69628.0,33.46456
69628.0,69688.79,69603.16,69606.0,55.76393
69606.0,69735.7,69581.21,69730.09,18.87185
69730.09,69766.92,69681.03,69714.78,31.8471
69714.79,69744.88,69675.0,69721.58,172.4728
69721.58,69853.84,69705.6,69729.0,129.29268
69729.0,69787.75,69715.09,69787.74,54.34802
69787.75,69848.11,69768.0,69797.19,29.66607
69797.2,69866.0,69786.82,69786.83,66.3127
69786.82,69814.03,69698.46,69812.16,145.5143
69812.16,69824.16,69752.06,69821.37,37.25119
69821.37,69959.62,69786.32,69830.13,262.70247
